Day         Intro       Ch1     Ch2     Ch3     Concl   App1        TOTAL    
27Sep      0            9.8      1.0      0.3     0       0          11.1
02Oct      0           10.0      1.0      0.3     0       0          11.3
03Oct      0           11.3      1.0      0.3     0       0          12.6
05Oct      0           13.6      1.0      0.3     0       0          14.9
06Oct      0           14.5      1.0      0.3     0       0          15.8
10Oct      0           16.4      2.3      0.9     0       0          19.6
11Oct      0           16.4      6.3      0.9     0       0          23.6
12Oct      0           16.4      7.8      0.9     0       0          25.1
16Oct      0           16.4      7.8      2.8     0       0          27.0
17Oct      0           16.5      7.8      6.0     0       0          30.3
18Oct      0           16.6      7.8      7.8     0       0          32.2
19Oct      0           16.6      7.8      9.7     0       0          34.1

20Oct      0           16.6      7.8      12.7    0       0          37.1
